index,qPCR_neg_ct-1,qPCR_neg_ct-2,ZG-1,ZG-10,ZG-11,ZG-12,ZG-13,ZG-14,ZG-15,ZG-16,ZG-17,ZG-18,ZG-19,ZG-2,ZG-20,ZG-21,ZG-22,ZG-23,ZG-24,ZG-25,ZG-26,ZG-27,ZG-28,ZG-29,ZG-3,ZG-30,ZG-31,ZG-32,ZG-33,ZG-34,ZG-35,ZG-36,ZG-37,ZG-38,ZG-39,ZG-4,ZG-40,ZG-41,ZG-42,ZG-43,ZG-44,ZG-45,ZG-46,ZG-47,ZG-48,ZG-49,ZG-5,ZG-50,ZG-51,ZG-52,ZG-6,ZG-7,ZG-8,ZG-9,zymo_pos_ct
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast,182,4158,34,2294,2479,381,2867,179,3127,2667,4003,3207,4177,206,2950,3338,2732,2127,2707,3063,2315,2683,160,2331,2748,100,3706,2829,4963,2285,180,104,222,55,0,3811,62,152,151,0,134,0,0,201,130,222,3716,224,3344,1851,1850,2789,2354,2604,157
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales,29,54,59,30,12,5,81,74,35,57,98,66,109,56,67,41,29,132,30,87,20,40,141,70,15,107,71,67,119,0,85,83,98,68,95,15,43,191,0,0,78,90,0,71,34,113,39,106,50,27,78,119,77,83,39
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales,159,37,10,0,0,29,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,37,17,0,23,0,0,423,0,21,22,30,1345,0,1536,0,40,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales,0,131,22,0,0,229,73,927,64,119,35,289,123,47,197,28,0,25,0,63,0,0,80,54,41,0,135,51,35,48,626,1756,386,401,129,0,508,219,377,547,252,619,498,585,740,108,0,0,0,35,48,93,61,0,145
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales,252,0,0,101,33,290,34,12,64,0,0,58,110,91,73,112,18,0,0,0,128,51,80,175,124,70,57,108,0,879,478,0,288,102,488,2,47,291,92,24,0,0,0,0,0,5,40,13,199,209,8,3,43,0,278
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales,6,0,419,19,35,28,60,0,7,23,67,0,0,52,0,99,34,0,0,0,117,85,72,177,11,0,22,42,0,74,0,0,0,0,0,16,16,0,111,29,62,0,0,0,0,23,47,0,0,0,0,21,0,8,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales,10,67,430,123,127,8,160,0,0,67,96,0,88,376,74,311,29,32,17,20,204,93,603,141,0,220,0,87,0,447,0,0,0,3,0,9,0,5,14,0,0,0,0,0,25,4,0,0,225,177,52,60,0,22,10
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;__,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52,0,52,20,0,142,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales,0,0,145,0,38,0,37,30,0,29,0,6,127,2,0,0,0,0,0,0,142,37,4,0,0,2,60,43,51,41,15,5,22,0,129,0,48,120,31,11,0,0,0,0,0,0,0,0,0,0,0,23,0,69,61
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__metagenome,0,0,0,36,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,0,0,0
